,q,D,nD
0,4,1.0,0.05263157894736842
1,8,1.0,0.05263157894736842
2,12,1.0,0.05263157894736842
3,16,1.0,0.05263157894736842
4,20,1.0,0.05263157894736842
5,24,0.94,0.15789473684210525
6,28,0.78,0.5789473684210527
7,32,0.34,1.0
8,36,0.95,0.21052631578947367
