,q,D,nD
0,4,1.0,0.059278350515463915
1,6,0.8992842535787321,0.09858247422680412
2,8,0.7919222903885481,0.1720360824742268
3,10,0.6492842535787321,0.2609536082474227
4,12,0.5403885480572597,0.37306701030927836
5,14,0.450920245398773,0.4536082474226804
6,16,0.4043967280163599,0.5502577319587629
7,18,0.29805725971370145,0.678479381443299
8,20,0.31901840490797545,0.666881443298969
9,22,0.25,0.7467783505154639
10,24,0.25306748466257667,0.7854381443298969
11,26,0.22341513292433537,0.833118556701031
12,28,0.18302658486707565,0.9014175257731959
13,30,0.18353783231083845,0.9201030927835051
14,32,0.1743353783231084,0.9561855670103093
15,34,0.16257668711656442,0.9536082474226805
16,36,0.16206543967280163,0.9755154639175257
17,38,0.14366053169734153,1.0
