,q,D,nD
0,4,0.8465608465608465,0.8548387096774194
1,8,1.0,0.5
2,12,0.8666666666666667,0.6935483870967742
3,16,0.9015873015873016,0.8064516129032258
4,20,0.8698412698412699,0.7903225806451613
5,24,0.9343915343915344,0.5967741935483871
6,28,0.8306878306878307,1.0
7,32,0.8952380952380953,0.6935483870967742
8,36,0.8952380952380953,0.8387096774193549
