,q,D,nD
0,4,1.0,0.014585556741373178
1,6,1.0,0.012451085023123443
2,8,0.9771014492753623,0.02312344361437211
3,10,0.9390909090909091,0.014941302027748132
4,12,0.9232542819499341,0.029526858769121308
5,14,0.6976284584980237,0.05193881181074351
6,16,0.4440052700922266,0.10992529348986126
7,18,0.33695652173913043,0.1967271433653504
8,20,0.2391304347826087,0.34436143721095697
9,22,0.19137022397891962,0.5531839203130559
10,24,0.13537549407114624,0.6570615439345429
11,26,0.1251646903820817,0.7381714692280328
12,28,0.09156785243741765,0.8153681963713981
13,30,0.06785243741765482,0.8868729989327642
14,32,0.055994729907773384,0.9167556029882604
15,34,0.04841897233201581,0.9526858769121309
16,36,0.04413702239789196,1.0
17,38,0.049736495388669304,0.9733191035218783
