,q,D,nD
0,4,1.0,0.013610071452875128
1,6,0.993,0.01735284110241579
2,8,0.942,0.02824089826471589
3,10,0.876,0.06022456617897244
4,12,0.78125,0.11874787342633548
5,14,0.61325,0.20619258251105818
6,16,0.4545,0.3382102756039469
7,18,0.36725,0.4603606668935012
8,20,0.3005,0.5430418509697176
9,22,0.20275,0.6580469547465124
10,24,0.1445,0.7519564477713508
11,26,0.1425,0.7812181013950323
12,28,0.10875,0.8577747533174549
13,30,0.09525,0.8866961551548146
14,32,0.0825,0.9312691391629806
15,34,0.08175,0.9479414766927526
16,36,0.072,0.9761823749574685
17,38,0.066,1.0
